title,author,text,sum,sum_marysha
Citový život zvířat,Peter Wohlleben,"Starostlivě pečující veverky, věrně milující krkavci, soucitné myšky a truchlící laně – také si tyto city spojujete jen s lidmi? Peter Wohlleben, lesník a autor bestsellerů, člověk s vášnivým zaujetím pro přírodu, čtenáře opět přivádí v úžas, tentokrát nad netušeně bohatým emočním světem zvířat.V této knize nám Peter Wohlleben zprostředkovává nejnovější vědecké poznatky a prokládá je poutavými příběhy a vlastními prožitky. Dozvídáme se tak velice čtivou formou o dosud málo prozkoumaných, avšak nanejvýš rozmanitých citech a chování lesních i domácích zvířat. A tu si rázem uvědomíme, že zvířata jsou nám mnohem blíž, než jsme kdy tušili. Fascinující, poučné a místy až neuvěřitelné!","Peter Wohlleben ve své knize odhaluje bohatý emoční svět zvířat, podporovaný nejnovějšími vědeckými poznatky a osobními příběhy, čímž ukazuje, že zvířata prožívají city a chování, které jsou nám lidem mnohem bližší, než jsme si dosud mysleli.","V té knížce se dozvíme, že zvířata majó pocity a chovajó se jako lidi, což je fakt fascinující a poučný!"
Bouře,Paul Polansky,"Americký autor vypráví o osudu českých Romů v době 2.světové války.Román je příběhem česko-romské rodiny z jižních Čech. Otec-Čech pracoval na panství českého šlechtice. V blízkosti nich byl vybudován pracovní tábor zprvu určený pro kriminální živly, později do něho byli deportováni Židé a Romové. Romská matka a 5 jejich dětí byly násilím do tábora umístěni. Otec se s pomocí ostatních cikánů snažil rodinu zachránit. Rodina byla ale deportována do Osvětimi, navrátila se pouze jediná dcera. Autor v románu odsuzuje českou společnost i její elity za postoje vůči Romům a za kolaboraci s Němci.","Román amerického autora zachycuje tragický osud česko-romské rodiny během 2. světové války, kdy otec usiluje o záchranu své rodiny před deportací do Osvětimi, zatímco autor kritizuje českou společnost a její elity za kolaboraci s nacisty a postoj vůči Romům.","Američan píše o osudu českých Romů za 2. světový, kde česko-romská rodina z jižních Čech prochází peklem, když je tábor násilně rozděluje a nakonec se vrátí jen jedna dcera, přičemž autor kritizuje českou společnost a její elity za kolaboraci s Němci."
Tatérka,Alison Belsham,"Když během tetovacího veletrhu v anglickém Brightonu objeví místní tatérka Marni Mullinsová podivně znetvořenou mrtvolu, ochromí celé město strach. Podle všeho tu řádí sériový vrah, který zaživa vyřezává umělecká díla z těl svých obětí. Marni skrývá tajemství a má pádné důvody, proč nedůvěřovat policii. Jak se proto rozhodne, když ji navštíví mladý, čerstvě povýšený inspektor? Pomůže mu vyšetřit jeho první vraždu, nebo se po stopách vraždící zrůdy vydá sama?","Marni Mullinsová, tatérka z Brightonu, se ocitá v nebezpečné situaci, když objeví znetvořenou mrtvolu a musí se rozhodnout, zda pomůže mladému inspektorovi vyšetřit sériového vraha, nebo se na vlastní pěst pustí do odhalení jeho tajemství, přičemž skrývá vlastní důvody k nedůvěře k policii.","Když na tetovacím veletrhu v Brightonu Marni najde znetvořenou mrtvolu, tak se město lekne, páč tu řádí sériový vrah, a Marni má svý tajemství a neví, jestli inspektorovi pomoct, nebo se do toho pustit sama."
Magie a manipulace mysli,Derren Brown,"Derren Brown (1971) je britský psycho-iluzionista, který nevěří na paranormální jevy. Studoval práva a germanistiku v Bristolu a k hypnóze ho inspirovalo představení hypnotizéra Taylora. Začal se sám hypnózou zabývat a vystupoval po barech. Na Vánoce roku 2000 běžel v britské televizi pilotní díl jeho pořadu Magie a manipulace mysli, který se velmi rychle stal hitem. Brown od té doby vydal tři knihy, dobýval USA na turné za účasti odborníků, kteří měli posoudit, zda je podvodník nebo ne, hrál v televizi naživo ruskou ruletu a vystupoval po celé Británii. V roce 2006 získal cenu Laurence Oliviera za nejlepší zábavní show. Dělal všechno, aby se mediálně zviditelnil, a vydělal dost peněz, aby na jejich vydělávání už nemusel myslet. V knize naznačuje některé své techniky, popisuje metody manipulace mysli, napovídá, jak se naučit „číst“ chování lidí, důkladně probírá umění hypnózy, vysvětluje alternativní medicínu jako placebo efekt a věnuje se také zábavnímu průmyslu kolem magie.","Derren Brown ve své knize sdílí techniky manipulace mysli, umění hypnózy a analýzu chování lidí, přičemž zkoumá také placebo efekt a zábavní průmysl magie, čímž odhaluje své metody a přístupy k iluzionismu a psychologii.","Derren Brown je britskej iluzionista, co nevěří na paranormální věci, a v knížce popisuje, jak manipulovat s lidma a jak funguje hypnóza, aby si každej mohl zlepšit svoje dovednosti."
Dokonalá pohádka,Elísabet Benavent,"Co se stane, když zjistíte, že váš příběh neskončil tak, jak jste si vysnili?Byla jednou jedna žena, která měla všechno, a jeden kluk, který neměl nic.Byl jednou jeden příběh lásky, lapené mezi úspěchem a pochybnostmi.Margot, dědička hotelového impéria, právě utekla od oltáře. Žena, která má vše, si najednou uvědomila,že její pohádkový princ není tím, s kým by chtěla strávit zbytek života. A za nejvhodnější řešení považuje úprk do nočního klubu se svými sestrami. Ale co když právě tento večer její život promění v dokonalou pohádku?Elísabet Benavent, alias Beta Coqueta, přichází s novým románem, ve kterém se podrobně zabývá tím, co znamená životní úspěch, a s ironií a humorem se zamýšlí nad pravidly, která nám ukládá společnost, skupinovým tlakem a vysokými nároky na sebe sama, které, i když je těžké tomu uvěřit, nejsou synonymem štěstí.","Kniha sleduje příběh Margot, dědičky hotelového impéria, která po útěku od oltáře objevuje, že skutečné štěstí a životní úspěch nejsou vždy v souladu s očekáváními společnosti, a to vše s ironií a humorem.","Byla jedná ženská, co měla všecko, ale zjistila, že její pohádka neni taková, jak si myslela, a tak se ségra rozhodla zdrhnout do nočního klubu, kde možná najde to pravý štěstí."
Řekni mé jméno,Julie Kenner,"Dalším románem autorky J. Kenner začíná nová žhavá a emočně vypjatá trilogie, která nás opět zavede do strhujícího světa vášní mocných a záhadných mužů a krásných žen, známého z předchozí série Odhal mě, Pokoř mě a Propusť mě.Řekni mé jméno je příběhem Jacksona Steelea, odhodlaného muže, který si jde vždy za svým, a zdrženlivé Sylvie Brooksové. Odstup jí však nevydrží dlouho…***Setkání s Jacksonem Steelem bylo pro moje city šokem. Byl tak sebevědomý a panovačný, že si okamžitě podmanil všechny kolem … a každou ženu. Jenže Jackson chtěl mě. Stačil pouhý pohled, abych ztratila dech, a jeho dotek ve mně zbořil všechny zábrany.","Kniha ""Řekni mé jméno"" od J. Kenner sleduje vášnivý a emocionálně nabitý příběh mezi odhodlaným Jacksonem Steeleem a zdrženlivou Sylvií Brooksovou, jejichž setkání vyvolá silné city a zpochybní jejich dosavadní životy.","V knížce Řekni mé jméno se potkávajó Jackson, co je chlap jak hora a Sylvie, co se mu snaží odolávat, ale nakonec jí to nedá a propadne jeho kouzlu."
Pomsta bílého jednorožce,Vlastimil Vondruška,"Častolov z Frýdlantu, který se honosí erbem Ronovců, přijde za nevyjasněných okolností o manželku Anežku, kterou najdou mrtvou pod skálou, na níž se jeho hrad tyčí nad krajinou jako orlí hnízdo. Její smrt uzavře královský popravce jako nešťastnou nehodu, jenže záhy poté je zabit i on. O tom, že nejnevděčnějším úkolem je pomáhat příbuzným, se přesvědčí Oldřich z Chlumu, když své ženě Ludmile slíbí celou záležitost vyšetřit. Jakmile se pustí do pátrání, začnou mysteriózními způsoby umírat další lidé a vše se točí kolem soutěsky, zvané Peklo. Co je ovšem nejhorší, nikdo z případných podezřelých ty vraždy spáchat nemohl, a tak nakonec nastupuje církev, neboť ďáblova stopa je nepopiratelná.","V historickém románu se častolov z Frýdlantu snaží vyřešit záhadné úmrtí své manželky a dalších lidí, přičemž se dostává do konfliktu s temnými silami a církevními autoritami, které naznačují, že za vraždami stojí ďábel.","Častolov z Frýdlantu, co má erb Ronovců, přišel o ženu Anežku, co ji našli mrtvou pod skáló, a když se to snaží vyšetřit Oldřich z Chlumu, začnou kolem něj umírat další lidé a církev se do toho musí vložit, páč ďáblova stopa je jasná."
Zapletený,Emma Chase,"Drew Evans, úspěšný třicátník se sebevědomím až do stropu, svůj život miluje a rozhodně v něm nehodlá cokoliv měnit. Proč taky? Přes týden září v otcově koncernu, o víkendu v nočních klubech. Vztah? Láska? K čemu! Ženy na něj stojí frontu a jemu jeho životní motto „nevstoupíš dvakrát do stejné řeky“ plně vyhovuje. Alespoň do té doby, než potká Kate, svou novou kolegyni s vlasy po pás a jazykem jako břitva. Jenže Kate má před svatbou, na aférky si nepotrpí,a jak se zdá, ani na Drewa... A že mu v práci šlape na paty? Tak to už, kočka, trochu přehání, ne? Jenže zákonům přitažlivosti neporučíš a muži jsou tvorové nejen ješitní, ale i bojovní. Zvlášť, když se zamilují…","Drew Evans, sebevědomý a úspěšný třicátník, se ocitá v emocionálním zmatku, když se zamiluje do své kolegyně Kate, která má před svatbou a odmítá jeho flirtování, což ho nutí přehodnotit svůj dosavadní životní styl.","Drew, co má sebevědomí jak hrom a žije si jak král, se mu to začne komplikovat, když potká Kate, co mu srdce rozbuší, ale ona má svý plány a na něj moc nedá."
Nemilosrdný rival,L.  J. Shen,"Když byla Arya Rothová malá, stali se se synem hospodyně její rodiny nejlepšími kamarády. Jejich přátelství se brzy přetavilo na dětskou lásku, a když ho Arya vyzvala, aby ji políbil, spustila se řetězová reakce katastrofálních událostí, jež vedly k tomu, že chlapce poslali z Aryina života pryč. O dvě desítky let později je z Aryi nadějná propagační agentka a milovaný otec je jedním z jejích největších klientů. Když tedy jejího otce zažaluje bývalá zaměstnankyně, Arya se rozhodne dokázat, že táta není to monstrum, za jaké ho mají. Jediným problémem je právník, jenž je odhodlaný otcovo dobré jméno zničit. Christian Miller je okouzlující, ambiciózní a ďábelsky dobře vypadá, přičemž Arya nemá tušení, že jde o chlapce, který ji tehdy před lety políbil.Minulost a současnost se protnou a Arya se do Christiana zamiluje. Jenže až se dozví, kým skutečně je, a o jeho posedlosti se jejímu otci pomstít, dokáže mu dát před svou rodinou přednost?","Kniha sleduje příběh Aryi Rothové, která se po letech zamiluje do právníka Christiana Millera, jenž je spojen s traumatickou minulostí a pomstou vůči jejímu otci, což ji postaví před dilema mezi láskou a rodinnou loajalitou.","Když byla Arya malá, zkamarádila se se synem hospodyně, ale po prvním polibku se jim život pěkně zkomplikoval, a po dvaceti letech, co je z ní agentka a její táta je v problémech, se do jejího života vrátí chlapec, co ji políbil, a ona se do něj zamiluje, ale zjistí, že má s jejím tátou nevyřízené účty."
Báječný svět shopaholiků,Sophie Kinsella,"ALKOHOLIK nemůže žít bez pití, WORKOHOLIK bez práce a SHOPAHOLIK bez nákupů! Rebecca Bloomwoodová, mile praštěná hrdinka této knihy, je přímo živoucím důkazem shopaholika. Radí lidem, jak nakládat s penězi, ale sama vězí po uších v dluzích. Nedělá totiž nic jiného, než vášnivě nakupuje. Pracuje jako redaktorka v nepříliš známých novinách zaměřených - ta ironie! - na spoření, investování a vůbec rozumné nakládání s financemi. Pokud ale Rebecca něco zoufale neovládá, pak je to právě hospodaření s penězi. Nemůže sedět v kanceláři, aniž by přitom nemyslela na nákupy, nemůže jít po ulici, aby nevešla do obchodu, a nemůže do něho vstoupit, aby něco nekoupila. A protože se jí nadevše líbí pěkné věci a prahne po oblečení světových značek, není divu, že její úvěry a dluhy rostou do nebe a poštovní schránka přetéká stále výhrůžnějšími upomínkami. Začarovaný kruh lží a beznaděje, z něhož zdánlivě není úniku, se rozšiřuje. Nakonec pomůže nečekaná náhoda. Stačí jeden článek v celostátních novinách, jedno šokující pozvání do televize a jeden nepřítel, z něhož se náhle vyklube nejlepší přítel. Vlastně ""přítel"" možná není to nejlepší slovo Když totiž dotyčný gentleman konečně pozve Rebeku na večeři, oba zjistí, že čistě náhodou","Rebecca Bloomwoodová, shopaholička a redaktorka zaměřená na finance, se ocitá v bezvýchodné situaci kvůli svým neovladatelným nákupním návykům a rostoucím dluhům, dokud ji nečekaná náhoda nepomůže najít cestu ven z jejího zašmodrchaného života.","Rebeka, co je shopaholik jak hrom, furt nakupuje a dluží, ale nakonec jí zachrání jeden článek a nečekaný přítel, co se zjeví v jejím životě."
